Year,UNHCR_Refugees_Aggregate,Population,Forest_sq_KM,Water_withdrawal_mln_m3,Temp_Anomalies_SA,Firespots,Rainfall(MM),soybean(thousand tonnes,wheat(thousand tonnes,rice(thousand tonnes,"agricultural support (total, % GDP)",Total renewable water sources per capita,Urban Population
1980,5.0,120694009,,,0.26,,,,,,,46818.0432224471,79915.6321524444
1981,5.0,123570327,,,0.41,,,,,,,45705.61245104081,82845.95278056814
1982,5.0,126498314,,,0.29,,,,,,,44593.0,85776.0
1983,5.0,129448819,,,0.47,,,,,,,43688.83978097618,88901.8040465905
1984,5.0,132383568,,,0.51,,,,,,,42784.497882317824,92027.33468448915
1985,5.0,135274080,,,0.16,,,,,,,41880.15598365946,95152.86532238779
1986,5.0,138108912,,,0.3,,,,,,,40975.814085001104,98278.39596028642
1987,,140891602,,,0.43,,,,,,,40071.0,101405.0
1988,,143627503,,,0.71,,,,,,,39382.3150010403,104450.2513669894
1989,6.0,146328304,,,0.3,,,,,,,38693.157815737846,107496.57613579373
1990,15.0,149003223,5467050,34022.00781,0.29,,,19418.6,3077.8,5338.56,,38004.0006304354,110542.90090459806
1991,11.0,151648011,5441618.75,,0.42,,1664.4786999999997,23042.1,2739.2,6697.99,,37314.84344513295,113589.22567340238
1992,11.0,154259380,5416188.125,,0.51,,1681.5219,25059.2,2051.8,6769.01,,36626.0,116635.0
1993,9.0,156849078,5390756.875,,0.35,,1691.7052999999999,25934.1,2137.8,6635.01,,36058.10525700108,119698.92018390611
1994,41.0,159432716,5365326.25,,0.5,,1837.9246,23189.7,1524.3,7050.41,,35490.52425417165,122762.28992560552
1995,52.0,162019896,5339895,36426.48047,0.68,,1791.036,23166.874,3197.5,7529.46,-0.616975653,34922.94325134222,125825.65966730492
1996,84.0,164614688,5314463.75,36152.01172,0.65,,1812.1278,26392.636000000002,2406.9,6724.79,-0.011551533999999999,34355.36224851279,128889.02940900432
1997,103.0,167209040,5289033.125,36879.16016,0.5,,1804.5013999999996,31369.9,2187.7,6381.08,-0.030364045,33788.0,131951.0
1998,134.0,169785250,5263601.875,38890.15234,0.88,,1733.4646,30765.0,2402.8,5670.21,0.5286415139,33315.08005119217,134938.98620640303
1999,194.0,172318675,5238170.9375,42260.52734,0.93,62858.0,1785.3568000000002,32344.6,1658.4,7875.76,-0.050258773,32842.378856700976,137925.57326210238
2000,869.0,174790340,5212740,42483.0625,0.46,48168.0,1937.6987,38431.8,3194.2,7767.7080000000005,0.7447148337,32369.677662209786,140912.1603178017
2001,1045.0,177196054,5183660,44143.13281,0.35,69675.0,1777.1407,41916.9,2913.9,7062.48,0.6494329937,31896.97646771859,143898.747373501
2002,1586.0,179537520,5154580,44521.19922,0.7,273873.0,1818.6019999999999,52017.5,6073.5,7225.7480000000005,0.7664986116,31424.0,146888.0
2003,1643.0,181809246,5125500,45752.66797,0.89,174400.0,1691.9079999999997,49792.7,5845.9,7049.628000000001,0.9872359177,31066.411797430672,149218.1569323375
2004,1412.0,184006481,5096420,48982.27344,0.79,218637.0,1800.9835000000003,52304.6,4873.1,8813.072,0.8167602117,30708.548321633953,151550.97943547467
2005,960.0,186127103,5067340,50677.6875,0.72,213720.0,1813.3659000000002,55027.1,2233.7,9081.536,0.9014132337999999,30350.68484583723,153883.80193861184
2006,1132.0,188167356,5050788.125,51860.01953,0.8,144422.0,1857.9855000000002,58391.8,4097.1,7970.755999999999,0.8368755851,29992.821370040503,156216.624441749
2007,1921.0,190130443,5034235.9375,53887.984379999994,0.84,186480.0,1699.1204000000002,60017.7,5884.0,7694.812,0.7625235537999999,29635.0,158549.0
2008,1759.0,192030362,5017684.0625,55668.22656,0.58,103453.0,1896.3570000000002,57165.5,5026.2,8210.32,0.6762677198999999,29353.181832449067,160571.99695937423
2009,1332.0,193886508,5001131.875,52335.17578,0.7,81682.0,1964.1933000000001,68688.2,5881.606,8569.7,0.8536745305,29071.405770654357,162594.54697386228
2010,1232.0,195713635,4984580,58846.90625,0.96,134614.0,1764.5407,75324.3,5788.6,7929.411999999999,0.7172539736,28789.62970885964,164617.09698835033
2011,1239.0,197514534,4974740,56596.03,0.88,58186.0,1862.3617999999997,66383.0,4379.5,9256.908000000001,0.7421830906,28507.853647064927,166639.64700283835
2012,1317.0,199287296,4964900,63095.65,0.73,86719.0,1656.4974000000002,81499.4,5527.9,7887.66,0.6224294017,28226.0,168662.0
2013,1531.0,201035903,4955060,62212.25,0.96,58688.0,1772.7207999999998,86120.8,5971.1,8037.396,0.4876633251,27990.618633544,170563.62776293882
2014,2165.0,202763735,4945220,64436.5,0.85,82554.0,1749.7448999999997,96228.0,5534.9,8242.688,0.43787700090000004,27755.159681817786,172465.05850855127
2015,3042.0,204471769,4935380,63798.26,1.07,106438.0,1587.0860000000002,95434.6,6726.8,8465.048,0.3684283936,27519.700730091572,174366.4892541637
2016,4562.0,206163058,4925540,63045.68,1.44,87761.0,1626.7932999999998,114075.3,4262.1,7210.04,0.48339184520000006,27284.241778365355,176267.9199997761
2017,7635.0,207833831,,,1.1,107439.0,,119281.7,5427.6,8382.904,0.35448619159999994,27049.0,178169.0
2018,9613.0,209469333,,,1.15,68345.0,,115030.1,5149.3,8203.52,0.3211102092,26813.323874912927,180070.78149100096
2019,13426.0,211049527,,,0.99,88135.0,,120620.27,5263.670999999999,7105.592,0.272471511,26577.86492318671,181972.21223661338
